time,pid,rss,cpu,cpu_affinity,fault_flag
2023-06-05 17:28:00,145817,3758096384,1219.0,145817,0
2023-06-05 17:28:00,145740,3435973836,1210.0,145740,0
2023-06-05 17:28:00,145854,2469606195,1063.0,145854,0
2023-06-05 17:28:00,145923,3758096384,1055.0,145923,0
2023-06-05 17:28:00,145890,3758096384,1030.0,145890,0
2023-06-05 17:29:00,145730,3758096384,1285.0,145730,0
2023-06-05 17:29:00,145751,3758096384,1229.0,145751,0
2023-06-05 17:29:00,145740,3221225472,1218.0,145740,0
2023-06-05 17:29:00,145817,3758096384,1210.0,145817,0
2023-06-05 17:29:00,145784,3006477107,1206.0,145784,0
2023-06-05 17:29:00,145854,2469606195,1088.0,145854,0
2023-06-05 17:29:00,145923,3758096384,1065.0,145923,0
2023-06-05 17:29:00,145890,3758096384,1046.0,145890,0
2023-06-05 17:30:00,145730,3758096384,1259.0,145730,0
2023-06-05 17:30:00,145740,2684354560,1257.0,145740,0
2023-06-05 17:30:00,145751,3435973836,1251.0,145751,0
2023-06-05 17:30:00,145817,3758096384,1242.0,145817,0
2023-06-05 17:30:00,145784,2576980377,1202.0,145784,0
2023-06-05 17:30:00,145854,2469606195,1147.0,145854,0
2023-06-05 17:30:00,145923,3758096384,1058.0,145923,0
2023-06-05 17:30:00,145890,3758096384,1053.0,145890,0
2023-06-05 17:31:00,145730,3543348019,1252.0,145730,0
2023-06-05 17:31:00,145751,3221225472,1249.0,145751,0
2023-06-05 17:31:00,145817,3650722201,1239.0,145817,0
2023-06-05 17:31:00,145740,2684354560,1231.0,145740,0
2023-06-05 17:31:00,145784,2576980377,1223.0,145784,0
2023-06-05 17:31:00,145854,2469606195,1149.0,145854,0
2023-06-05 17:31:00,145923,3758096384,1067.0,145923,0
2023-06-05 17:31:00,145890,3758096384,1030.0,145890,0
2023-06-05 17:32:00,145730,3006477107,1312.0,145730,0
2023-06-05 17:32:00,145784,2576980377,1237.0,145784,0
2023-06-05 17:32:00,145740,2576980377,1227.0,145740,0
2023-06-05 17:32:00,145751,3006477107,1222.0,145751,0
2023-06-05 17:32:00,145817,3113851289,1206.0,145817,0
2023-06-05 17:32:00,145854,2469606195,1137.0,145854,0
2023-06-05 17:32:00,145923,3758096384,1069.0,145923,0
2023-06-05 17:32:00,145890,3758096384,1010.0,145890,0
2023-06-05 17:33:00,145730,3865470566,1275.0,145730,0
2023-06-05 17:33:00,145751,3865470566,1259.0,145751,0
2023-06-05 17:33:00,145740,3758096384,1234.0,145740,0
2023-06-05 17:33:00,145817,3865470566,1218.0,145817,0
2023-06-05 17:33:00,145784,3758096384,1205.0,145784,0
2023-06-05 17:33:00,145854,2576980377,1109.0,145854,0
2023-06-05 17:33:00,145923,3758096384,1041.0,145923,0
2023-06-05 17:33:00,145890,3758096384,1040.0,145890,0
2023-06-05 17:34:00,145730,3758096384,1308.0,145730,0
2023-06-05 17:34:00,145751,3758096384,1269.0,145751,0
2023-06-05 17:34:00,145740,2899102924,1231.0,145740,0
2023-06-05 17:34:00,145817,3758096384,1220.0,145817,0
2023-06-05 17:34:00,145784,2899102924,1189.0,145784,0
2023-06-05 17:34:00,145854,2469606195,1132.0,145854,0
2023-06-05 17:34:00,145923,3758096384,1113.0,145923,0
2023-06-05 17:34:00,145890,3758096384,1040.0,145890,0
2023-06-05 17:35:00,145730,3758096384,1291.0,145730,0
2023-06-05 17:35:00,145784,2469606195,1255.0,145784,0
2023-06-05 17:35:00,145751,3758096384,1229.0,145751,0
2023-06-05 17:35:00,145740,3006477107,1222.0,145740,0
2023-06-05 17:35:00,145817,3650722201,1216.0,145817,0
2023-06-05 17:35:00,145854,2469606195,1133.0,145854,0
2023-06-05 17:35:00,145923,3758096384,1094.0,145923,0
2023-06-05 17:35:00,145890,3758096384,1046.0,145890,0
2023-06-05 17:36:00,145730,3758096384,1280.0,145730,0
2023-06-05 17:36:00,145751,3758096384,1239.0,145751,0
2023-06-05 17:36:00,145817,3758096384,1223.0,145817,0
2023-06-05 17:36:00,145740,2899102924,1221.0,145740,0
2023-06-05 17:36:00,145784,2469606195,1128.0,145784,0
2023-06-05 17:36:00,145854,2469606195,1123.0,145854,0
2023-06-05 17:36:00,145923,3758096384,1063.0,145923,0
2023-06-05 17:36:00,145890,3758096384,1017.0,145890,0
2023-06-05 17:37:00,145730,3758096384,1281.0,145730,0
2023-06-05 17:37:00,145740,3758096384,1236.0,145740,0
2023-06-05 17:37:00,145817,3758096384,1225.0,145817,0
2023-06-05 17:37:00,145751,3758096384,1200.0,145751,0
2023-06-05 17:37:00,145854,2469606195,1108.0,145854,0
2023-06-05 17:37:00,145784,2469606195,1091.0,145784,0
2023-06-05 17:37:00,145923,3758096384,1085.0,145923,0
2023-06-05 17:37:00,145890,3758096384,1052.0,145890,0
2023-06-05 17:38:00,145740,3328599654,1250.0,145740,0
2023-06-05 17:38:00,145730,3758096384,1239.0,145730,0
2023-06-05 17:38:00,145751,3758096384,1236.0,145751,0
2023-06-05 17:38:00,145817,3650722201,1215.0,145817,0
2023-06-05 17:38:00,145854,2899102924,1154.0,145854,0
2023-06-05 17:38:00,145784,2469606195,1074.0,145784,0
2023-06-05 17:38:00,145923,3758096384,1066.0,145923,0
2023-06-05 17:38:00,145890,3758096384,1045.0,145890,0
2023-06-05 17:39:00,145730,3758096384,1262.0,145730,0
2023-06-05 17:39:00,145740,3328599654,1247.0,145740,0
2023-06-05 17:39:00,145817,3758096384,1230.0,145817,0
2023-06-05 17:39:00,145751,3758096384,1220.0,145751,0
2023-06-05 17:39:00,145854,2899102924,1179.0,145854,0
2023-06-05 17:39:00,145784,2469606195,1086.0,145784,0
2023-06-05 17:39:00,145923,3758096384,1075.0,145923,0
2023-06-05 17:39:00,145890,3758096384,1004.0,145890,0
2023-06-05 17:40:00,145817,3758096384,1160.0,145817,0
2023-06-05 17:40:00,145730,2469606195,1111.0,145730,0
2023-06-05 17:40:00,145740,2362232012,1102.0,145740,0
2023-06-05 17:40:00,145751,3006477107,1083.0,145751,0
2023-06-05 17:40:00,145854,3758096384,1076.0,145854,0
2023-06-05 17:40:00,145923,3758096384,1013.0,145923,0
2023-06-05 17:40:00,145784,2469606195,972.9,145784,0
2023-06-05 17:40:00,145890,3758096384,946.1,145890,0
2023-06-05 17:41:00,145817,3758096384,771.8,145817,0
2023-06-05 17:41:00,145854,3758096384,747.5,145854,0
2023-06-05 17:41:00,145890,3758096384,651.3,145890,0
2023-06-05 17:41:00,145923,3758096384,651.2,145923,0
2023-06-05 17:41:00,145784,2469606195,513.1,145784,1
2023-06-05 17:41:00,145740,2362232012,507.3,145740,1
2023-06-05 17:41:00,145730,3758096384,493.9,145730,1
2023-06-05 17:41:00,145751,3758096384,491.7,145751,1
2023-06-05 17:42:00,145854,3758096384,768.9,145854,0
2023-06-05 17:42:00,145817,3758096384,712.4,145817,0
2023-06-05 17:42:00,145923,3758096384,669.3,145923,0
2023-06-05 17:42:00,145890,3758096384,616.4,145890,0
2023-06-05 17:42:00,145784,2469606195,495.3,145784,1
2023-06-05 17:42:00,145740,2469606195,471.2,145740,1
2023-06-05 17:42:00,145730,2899102924,470.6,145730,1
2023-06-05 17:42:00,145751,2469606195,469.9,145751,1
2023-06-05 17:43:00,145854,3758096384,736.1,145854,0
2023-06-05 17:43:00,145817,3758096384,721.1,145817,0
