name,mac_tx_pfc_pkt_num,mac_rx_pfc_pkt_num,roce_rx_rc_pkt_num,roce_rx_all_pkt_num,roce_tx_rc_pkt_num,roce_tx_all_pkt_num,label,t_congestion_index,r_congestion_index
2to1pangu-1.3B-semi_auto_parallel-batch8-allreduce-0@71.14.85.13_NPU4,1.1517100336431231e-05,0.000695309200905879,0.9992382427840092,0.9992382427840092,0.999932216395506,0.999932216395506,0,0.0006958666185618183,1.1517428249639164e-05
2to1pangu-1.3B-semi_auto_parallel-batch8-allreduce-0@71.14.85.13_NPU5,1.8658370511745057e-05,0.0006763975976954902,0.9992506903418684,0.9992506903418684,0.9999178066609354,0.9999178066609354,0,0.0006769041121249194,1.865992344219479e-05
2to1pangu-1.3B-semi_auto_parallel-batch8-allreduce-0@71.14.85.13_NPU6,3.3456148495372452e-06,0.0006006204310674888,0.9993274285719981,0.9993274285719981,0.9999354038979051,0.9999354038979051,0,0.0006010270607270575,3.3458176298401636e-06
2to1pangu-1.3B-semi_auto_parallel-batch8-allreduce-0@71.14.85.13_NPU7,1.1327468986789757e-05,0.0005516600906777003,0.9993758165312264,0.9993758165312264,0.9999270150577783,0.9999270150577783,0,0.0005520291407535924,1.1327793055638063e-05
2to1pangu-1.3B-semi_auto_parallel-batch8-allreduce-0@71.14.85.14_NPU0,0.00013900469933656614,0.0007149983425593778,0.9992200544206401,0.9992200544206401,0.9998041005035495,0.9998041005035495,0,0.0007153614494166144,0.0001390698319758419
2to1pangu-1.3B-semi_auto_parallel-batch8-allreduce-0@71.14.85.14_NPU1,9.3178761443587e-05,0.0006575312763009698,0.9992722818978145,0.9992722818978145,0.9998442303273486,0.9998442303273486,0,0.0006578859962157159,9.321086127575843e-05
2to1pangu-1.3B-semi_auto_parallel-batch8-allreduce-0@71.14.85.14_NPU2,0.00010697797106146174,0.0007738605032691024,0.9991592987827177,0.9991592987827177,0.9998347727488447,0.9998347727488447,0,0.0007743190881783124,0.00010702225599569181
2to1pangu-1.3B-semi_auto_parallel-batch8-allreduce-0@71.14.85.14_NPU3,0.0001376146611919321,0.0005982250042033042,0.9996116909210268,0.9996116909210268,1.0000799696231235,1.0000799696231235,0,0.0005982124390746782,0.00013766000199829035
2to1pangu-1.3B-semi_auto_parallel-batch8-allreduce-0@71.14.85.14_NPU4,0.00010793623348601357,0.0006852072497119837,0.9992475935033311,0.9992475935033311,0.9998327888921652,0.9998327888921652,0,0.000685522574492236,0.00010798587740359477
2to1pangu-1.3B-semi_auto_parallel-batch8-allreduce-0@71.14.85.14_NPU5,9.217866296168049e-05,0.000682607880402701,0.999246208762845,0.999246208762845,0.9998444605673124,0.9998444605673124,0,0.0006829552122790529,9.221562716391803e-05
